WELL_ID,TOWN,STREET_NUMBER,STREET_NAME,Address,LATITUDE,LONGITUDE,DATE_COMPLETE,WELL_TYPE,WORKPERFORMED,TOTAL_DEPTH,DEPTH_TO_BEDROCK,WATER_LEVEL,Numeric Water Level
601943,Heath,120,BURRINGTON HILL ROAD,120 BURRINGTON HILL ROAD Heath MA,,,10/26/2011,,,245,7,20,20
602422,Heath,,JACKSONVILLE STAGE ROAD, JACKSONVILLE STAGE ROAD Heath MA,,,2/16/2012,,,205,15,6,6
607346,Heath,70,UNDERWOOD HILL ROAD,70 UNDERWOOD HILL ROAD Heath MA,42.72208,-72.82902,6/18/2012,,New Well,225,4,17,17
610564,Heath,206,SUMNER-STETSON RD,206 SUMNER-STETSON RD Heath MA,42.72957,-72.8384,8/10/2012,,New Well,405,4,50,50
3914,Colrain,20,Old County Road,20 Old County Road Colrain MA,,,11/28/2000,Domestic,New Well,400,15,18,18
3915,Colrain,113,Main Street,113 Main Street Colrain MA,,,10/27/2000,Domestic,New Well,140,10,14,14
3916,Colrain,,E Colrain Road, E Colrain Road Colrain MA,,,10/17/2000,Domestic,New Well,500,5,22,22
3917,Colrain,,Going South On Smead Road O.1 S Of Graves Road On, Going South On Smead Road O.1 S Of Graves Road On Colrain MA,,,9/7/1999,Domestic,New Well,325,6,20,20
3918,Colrain,,From Colrain- Shleburne Road, From Colrain- Shleburne Road Colrain MA,,,8/9/2000,Domestic,New Well,445,137,overflow 1gt/min,0
3919,Colrain,,From Rte 112 Take Thompson Hill Road, From Rte 112 Take Thompson Hill Road Colrain MA,,,4/27/2000,Domestic,New Well,305,47,overflow 1qt/min,0
3946,Colrain,310,West Leyden Road,310 West Leyden Road Colrain MA,,,9/14/2000,Domestic,New Well,360,15,8,8
4868,Colrain,62,Adamsville Road,62 Adamsville Road Colrain MA,,,4/16/2001,Domestic,New Well,260,12,0,0
12946,Colrain,318,Green River Road,318 Green River Road Colrain MA,,,1/30/2002,Domestic,,160,37,20,20
15032,Colrain,94,Catamount,94 Catamount Colrain MA,,,7/18/2002,Irrigation,,220,26,flowing,0
22781,Colrain,,Parington Road, Parington Road Colrain MA,,,8/7/1999,Domestic,New Well,400,6,17,17
22782,Colrain,,South on Route 112, South on Route 112 Colrain MA,,,3/10/2000,Domestic,New Well,285,20,,0
100068,Colrain,96,Jurek Road,96 Jurek Road Colrain MA,,,4/4/2001,Domestic,Replacement,205,,22,22
103919,Colrain,38,Adams Place Road,38 Adams Place Road Colrain MA,,,,Domestic,Replacement,445,6,160,160
104458,Colrain,,Main Road (enclay Road -along River), Main Road (enclay Road -along River) Colrain MA,,,1/10/2002,Monitoring,New Well,15,0,4,4
107196,Colrain,258,Shelburne Line Road,258 Shelburne Line Road Colrain MA,,,1/2/2002,Domestic,New Well,120,10,8,8
107202,Colrain,186,Ed Clark Road,186 Ed Clark Road Colrain MA,,,2/8/2002,Domestic,New Well,200,40,7,7
107433,Colrain,159,Adamsville Road,159 Adamsville Road Colrain MA,,,12/12/2001,Domestic,Replacement,525,15,5,5
107442,Colrain,26,Van Neiss Road,26 Van Neiss Road Colrain MA,,,1/23/2002,Domestic,New Well,305,3,10,10
107443,Colrain,206,East Colrain Road,206 East Colrain Road Colrain MA,,,1/22/2002,Domestic,Replacement,205,5,31,31
107447,Colrain,,Franklin Hill Road, Franklin Hill Road Colrain MA,,,2/20/2002,Domestic,New Well,445,7,80,80
107448,Colrain,162,Thompson Road,162 Thompson Road Colrain MA,,,2/21/2002,Domestic,New Well,165,9,20,20
109456,Colrain,152,Wilson Hill Road,152 Wilson Hill Road Colrain MA,,,3/17/2002,Domestic,New Well,200,3,11,11
109464,Colrain,,Nelson Road, Nelson Road Colrain MA,,,7/1/2002,Domestic,New Well,400,30,20,20
109466,Colrain,419,Main Road,419 Main Road Colrain MA,,,4/3/2002,Domestic,New Well,400,92,16,16
109477,Colrain,267,East Colrain Road,267 East Colrain Road Colrain MA,,,4/29/2002,Domestic,,,0,13,13
109498,Colrain,25,Coburn Street,25 Coburn Street Colrain MA,,,3/14/2002,Domestic,New Well,320,116,10,10
111419,Colrain,,Franklin Hill Road, Franklin Hill Road Colrain MA,,,7/2/2002,Domestic,New Well,405,7,8,8
111420,Colrain,,Franklin Hill Road, Franklin Hill Road Colrain MA,,,7/3/2002,Domestic,New Well,145,7,14,14
111428,Colrain,150,Franklin Hill Road,150 Franklin Hill Road Colrain MA,,,7/18/2002,Domestic,New Well,445,8,40,40
111433,Colrain,,East Colrain Road, East Colrain Road Colrain MA,,,8/13/2002,Domestic,New Well,225,130,98,98
111470,Colrain,57,West Leyden Road,57 West Leyden Road Colrain MA,,,12/9/2002,Domestic,New Well,225,45,6,6
111471,Colrain,205,Greenfield Road,205 Greenfield Road Colrain MA,,,12/6/2002,Domestic,New Well,305,36,overflowing,0
111476,Colrain,7,Shearer Road,7 Shearer Road Colrain MA,,,12/30/2002,Domestic,Replacement,345,8,20,20
111483,Colrain,34,Adamsville Road,34 Adamsville Road Colrain MA,,,1/3/2003,Domestic,Replacement,125,38,15,15
113914,Colrain,,Factory Site- Rt. 112, Factory Site- Rt. 112 Colrain MA,,,6/21/2001,Monitoring,New Well,18,0,11,11
114283,Colrain,341,Main Road,341 Main Road Colrain MA,,,5/24/2002,Domestic,New Well,200,53,23,23
118201,Colrain,415,Main Road,415 Main Road Colrain MA,,,9/30/2002,Domestic,Replacement,520,48,14,14
118373,Colrain,110,Calvin Combs Road,110 Calvin Combs Road Colrain MA,,,10/25/2002,Domestic,New Well,280,3,30,30
121259,Colrain,416,Main Road,416 Main Road Colrain MA,,,8/3/2005,Domestic,,440,78,31,31
122461,Colrain,15,Green River Lane,15 Green River Lane Colrain MA,,,6/25/2003,Domestic,Replacement,485,17,14,14
122469,Colrain,303,Thompson Road,303 Thompson Road Colrain MA,,,7/24/2003,Domestic,New Well,305,17,10,10
122483,Colrain,185,East Colrain Road,185 East Colrain Road Colrain MA,,,9/21/2003,Domestic,New Well,345,30,34,34
122484,Colrain,193,East Colrain Road,193 East Colrain Road Colrain MA,,,9/22/2003,Domestic,New Well,385,1,42,42
122509,Colrain,108,Thompson Hill Road,108 Thompson Hill Road Colrain MA,,,12/1/2003,Domestic,Replacement,245,145,Overflowing,0
122513,Colrain,18,Franklin Hill Road,18 Franklin Hill Road Colrain MA,,,1/29/2004,Domestic,Replacement,245,25,10,10
122543,Colrain,251,Jacksonville Road,251 Jacksonville Road Colrain MA,,,5/11/2004,Domestic,New Well,525,60,8,8
124185,Colrain,246,West Lyden Road,246 West Lyden Road Colrain MA,,,11/3/2003,Domestic,New Well,200,17,0,0
124218,Colrain,151,Ed Clark Road,151 Ed Clark Road Colrain MA,,,7/7/2003,Domestic,New Well,300,2,30,30
124237,Colrain,25,Stranahan Road,25 Stranahan Road Colrain MA,,,7/1/2003,Domestic,New Well,220,76,40,40
127776,Colrain,116,Heath Road,116 Heath Road Colrain MA,,,9/23/2003,Domestic,New Well,140,65,50,50
131260,Colrain,141,Franklin Hill Road,141 Franklin Hill Road Colrain MA,,,8/2/2004,Domestic,New Well,485,8,67.2,67.2
131286,Colrain,197,Adamsville Road,197 Adamsville Road Colrain MA,,,11/8/2004,Domestic,Replacement,325,8,overflowing,0
131295,Colrain,232,Thompson Road,232 Thompson Road Colrain MA,,,1/31/2005,Domestic,New Well,165,24,12,12
131297,Colrain,105,Van Nuys Road,105 Van Nuys Road Colrain MA,,,2/8/2005,Domestic,New Well,485,45,20,20
131310,Colrain,107,Hillman Road,107 Hillman Road Colrain MA,,,5/17/2005,Domestic,New Well,445,445,40,40
131323,Colrain,114,New County Road,114 New County Road Colrain MA,,,7/21/2005,Domestic,New Well,365,20,7,7
131326,Colrain,413,Main Road,413 Main Road Colrain MA,,,7/6/2005,Domestic,Replacement,285,25,27,27
131333,Colrain,40,Ed Clark Road,40 Ed Clark Road Colrain MA,,,8/26/2005,Domestic,New Well,165,25,90.8,90.8
135484,Colrain,12,Dwight Cross Road,12 Dwight Cross Road Colrain MA,,,5/23/2005,Domestic,New Well,160,77,Of .5GPM,0
135651,Colrain,21,Leon Herzig Road,21 Leon Herzig Road Colrain MA,,,11/28/2004,Domestic,New Well,360,55,5,5
139549,Colrain,237,Main Road,237 Main Road Colrain MA,,,6/22/2005,Monitoring,New Well,60,0,42,42
140507,Colrain,107,Prolorich Road,107 Prolorich Road Colrain MA,,,9/27/2005,Domestic,New Well,200,4.5,40,40
140514,Colrain,415,Main Road,415 Main Road Colrain MA,,,7/20/2005,Domestic,New Well,200,49,25,25
140535,Colrain,32,Ed Clark Road,32 Ed Clark Road Colrain MA,,,6/15/2006,Domestic,New Well,80,8,45,45
140546,Colrain,115,N. Green River Road,115 N. Green River Road Colrain MA,,,4/10/2006,Domestic,New Well,240,0,10,10
141223,Colrain,69,Thomson Hill Road,69 Thomson Hill Road Colrain MA,,,1/30/2006,Domestic,New Well,245,164,,0
141238,Colrain,92,East Colrain Road,92 East Colrain Road Colrain MA,,,4/18/2006,Domestic,New Well,345,3,10,10
141239,Colrain,127,West Leyden Road,127 West Leyden Road Colrain MA,,,4/17/2006,Domestic,Replacement,300,45,10,10
143975,Colrain,96,E. ColrainRoad,96 E. ColrainRoad Colrain MA,,,8/5/2005,Domestic,Replacement,440,20,40,40
144991,Colrain,Lot 3,Ed Clark Road,Lot 3 Ed Clark Road Colrain MA,,,8/21/2006,Domestic,New Well,420,0,80,80
145257,Colrain,,Green River Road, Green River Road Colrain MA,42.685967,-72.157983,,Domestic,New Well,545,10,over 1 gpm,0
145334,Colrain,237,Main Road,237 Main Road Colrain MA,,,5/12/2006,Monitoring,New Well,39,0,25,25
145657,Colrain,427,Main Street,427 Main Street Colrain MA,,,7/10/2006,Domestic,New Well,81,0,22,22
145661,Colrain,82,Ed Clark Road,82 Ed Clark Road Colrain MA,,,7/11/2006,Domestic,New Well,445,8,20,20
145666,Colrain,54,New County Road,54 New County Road Colrain MA,42.7193,-72.67655,9/12/2006,Domestic,New Well,385,6,35,35
147766,Colrain,78,Colrain-Shelburne Road,78 Colrain-Shelburne Road Colrain MA,42.6156,-72.67195,11/9/2006,Domestic,Replacement,445,20,35.7,35.7
147773,Colrain,8,Shattuckville Road,8 Shattuckville Road Colrain MA,42.741483,-72.62535,12/22/2006,Domestic,Replacement,265,20,20,20
147788,Colrain,17,Charlemont Road,17 Charlemont Road Colrain MA,42.638583,-72.733683,4/29/2007,Domestic,New Well,185,45,0,0
147794,Colrain,310,Jacksonville Road,310 Jacksonville Road Colrain MA,42.711033,-72.7043,5/30/2007,Domestic,Replacement,265,50,10,10
147795,Colrain,429,Main Road,429 Main Road Colrain MA,42.638717,-72.729517,5/30/2007,Domestic,New Well,345,8,80,80
147798,Colrain,39,New County Road,39 New County Road Colrain MA,42.71715,-72.673417,7/9/2007,Domestic,New Well,445,7,32,32
147801,Colrain,66,Ed Clark Road,66 Ed Clark Road Colrain MA,42.699667,-72.76225,7/11/2007,Domestic,New Well,225,21,50,50
147802,Colrain,64,Ed Clark Road,64 Ed Clark Road Colrain MA,42.699017,-72.762417,7/11/2007,Domestic,New Well,225,25,50,50
149037,Colrain,28,Ed Clark Road,28 Ed Clark Road Colrain MA,42.694233,-72.760317,11/9/2006,Domestic,New Well,120,0,20,20
150642,Colrain,238,Wilson Hill Road,238 Wilson Hill Road Colrain MA,42.7051,-72.738167,6/12/2008,Domestic,New Well,180,23,10,10
150684,Colrain,126,Main Road,126 Main Road Colrain MA,42.67115,-72.716433,9/11/2008,Irrigation,New Well,200,35,5,5
154659,Colrain,26,Greenfield Road,26 Greenfield Road Colrain MA,42.6727,-72.692683,11/9/2007,Domestic,Replacement,385,45,30,30
154664,Colrain,327,W. Leydon Road,327 W. Leydon Road Colrain MA,42.69545,-72.6647,11/20/2007,Domestic,Replacement,245,22,15,15
155395,Colrain,57,East Colrain Road,57 East Colrain Road Colrain MA,42.668533,-72.657917,8/11/2008,Domestic,Deepen,442,2,30,30
155402,Colrain,1,Gilbert Drive,1 Gilbert Drive Colrain MA,42.7014,-72.775683,4/17/2009,Domestic,New Well,300,10,90,90
157680,Colrain,51,Heath Road,51 Heath Road Colrain MA,42.679217,-72.739633,1/19/2009,Domestic,New Well,122,13,3,3
